ad	其实
ai	东西
alph	α
alph	Α
alpha	α
alpha	Α
appr	≈
approx	≈
bec	∵
because	∵
beta	β
beta	Β
cap	∩
cf	对于
chi	χ
chi	Χ
cup	∪
deg	°
degree	°
delta	δ
delta	Δ
dj	非常
djy	百度
epsi	ε
epsi	Ε
epsilon	ε
epsilon	Ε
eta	η
eta	Η
exi	∃
exists	∃
fd	需要
for	∀
forall	∀
gamm	γ
gamm	Γ
gamma	γ
gamma	Γ
geq	≥
gets	←
hi	频率
iff	⇔
im	没有
in	∈
inf	∞
infty	∞
je	明天
jt	昨天
kapp	κ
kapp	Κ
kappa	κ
kappa	Κ
lamb	λ
lamb	Λ
lambda	λ
lambda	Λ
leq	≤
lota	ι
lota	Ι
lti	输入法
mu	μ
mu	Μ
nab	∇
nabla	∇
neg	¬
neq	≠
nin	∉
notin	∉
nu	ν
nu	Ν
omeg	ω
omeg	Ω
omega	ω
omega	Ω
omic	ο
omic	Ο
omicron	ο
omicron	Ο
para	∥
parallel	∥
perp	⊥
phi	φ
phi	Φ
pi	π
pi	Π
prop	∝
propto	∝
psi	ψ
psi	Ψ
qq	多多
rho	ρ
rho	Ρ
rn	所以
rqq	拼多多
sigm	σ
sigm	Σ
sigma	σ
sigma	Σ
sk	可以
sk	🉑
tau	τ
tau	Τ
td	知道
th	自己
th	怎么
the	∴
ther	∴
there	∴
therefore	∴
thet	θ
thet	Θ
theta	θ
theta	Θ
times	×
to	→
uk	问题
upsi	υ
upsi	Υ
upsilon	υ
upsilon	Υ
vee	∨
vf	那么
vft	那么
wedg	∧
wedge	∧
wf	什么
wy	今天
xi	ξ
xi	Ξ
yi	应该
zeta	ζ
zeta	Ζ
